AGE;PERSONAL_INCOME;CREDIT;FST_PAYMENT;FACT_LIVING_TERM;LOAN_AVG_DLQ_AMT
41;20000.0;65000.0;10000.0;204.0;0.0
53;13000.0;16460.0;10000.0;252.0;0.0
23;9500.0;25000.0;12000.0;96.0;0.0
31;7000.0;2500.0;790.0;7.0;0.0
49;15000.0;9300.0;1112.0;22.0;0.0
50;15000.0;9595.0;1100.0;108.0;0.0
35;20000.0;11396.0;2000.0;68.0;0.0
53;17000.0;38244.0;5000.0;156.0;0.0
29;12000.0;13890.0;10000.0;12.0;0.0
53;4300.0;6980.0;0.0;195.0;0.0
36;40000.0;9497.0;2000.0;36.0;0.0
55;15000.0;18530.0;0.0;228.0;0.0
24;7500.0;4949.0;550.0;84.0;0.0
58;8000.0;20883.0;7707.0;680.0;0.0
40;15000.0;10000.0;12300.0;128.0;0.0
63;9000.0;5990.0;2000.0;212.0;0.0
63;14000.0;6007.0;6007.0;84.0;0.0
22;17000.0;12197.0;0.0;108.0;0.0
45;12000.0;21398.0;3000.0;36.0;0.0
33;20000.0;5088.0;2000.0;300.0;0.0
26;8000.0;8770.0;1000.0;300.0;0.0
49;20000.0;11500.0;1279.0;132.0;0.0
27;8000.0;4900.0;1500.0;132.0;0.0
52;15000.0;12350.0;1000.0;300.0;1290.0
22;23000.0;5690.0;3000.0;120.0;0.0
30;16000.0;98644.0;49356.0;132.0;0.0
34;10000.0;17399.1;0.0;24.0;1950.0
46;14000.0;2007.0;223.0;24.0;0.0
59;4500.0;12200.0;1500.0;72.0;0.0
36;22000.0;5755.0;650.0;13.0;0.0
28;23000.0;29250.0;3300.0;1.0;1949.8
58;13000.0;51000.0;50000.0;38.0;0.0
45;14000.0;13990.92;5000.0;240.0;0.0
22;8000.0;7800.0;0.0;216.0;0.0
35;15000.0;5000.0;1840.0;31.0;0.0
37;20000.0;7980.0;1000.0;192.0;0.0
22;11000.0;10512.0;1168.0;264.0;0.0
38;23000.0;4869.66;1385.0;12.0;0.0
34;10000.0;7000.0;1000.0;120.0;0.0
22;20000.0;11900.0;8100.0;84.0;0.0
60;6000.0;24923.0;2800.0;700.0;0.0
26;4500.0;3700.0;3500.0;60.0;0.0
57;28000.0;18600.0;10000.0;192.0;0.0
35;12000.0;27000.0;3600.0;19.0;0.0
33;5000.0;21990.0;5000.0;84.0;0.0
23;10000.0;6529.0;1160.0;24.0;0.0
27;12500.0;3909.0;690.0;36.0;1411.31
56;11000.0;20000.0;4100.0;226.0;0.0
43;32000.0;4131.0;459.0;109.0;0.0
32;9000.0;17270.0;1920.0;62.0;0.0
34;20000.0;31885.0;10000.0;41.0;0.0
28;15000.0;4891.0;1000.0;65.0;0.0
61;7500.0;2970.0;330.0;240.0;0.0
53;5000.0;9390.0;1100.0;360.0;1095.61
26;10000.0;4801.0;1200.0;300.0;0.0
39;6000.0;2650.0;600.0;96.0;0.0
28;30000.0;5268.47;941.0;24.0;0.0
21;14000.0;7290.0;810.0;32.0;0.0
47;15000.0;9150.0;6000.0;216.0;0.0
50;9000.0;9444.0;1050.0;250.0;0.0
41;9000.0;9000.0;1000.0;77.0;0.0
31;40000.0;15190.0;3800.0;97.0;0.0
49;20000.0;41000.0;8000.0;150.0;0.0
31;15000.0;13150.0;0.0;24.0;1470.0
25;50000.0;11590.0;1300.0;2.0;0.0
56;3700.0;23975.0;2665.0;48.0;0.0
40;10000.0;20820.2;2315.0;84.0;0.0
50;20000.0;17320.0;2000.0;260.0;0.0
38;23000.0;25999.0;0.0;60.0;0.0
50;4300.0;13100.0;1500.0;37.0;0.0
45;8000.0;13490.0;1600.0;100.0;0.0
61;12000.0;18690.0;10008.0;320.0;0.0
23;14000.0;9127.0;1050.0;96.0;0.0
27;12000.0;10795.0;10795.0;312.0;0.0
37;8000.0;5661.0;629.0;72.0;0.0
31;30000.0;11450.0;1500.0;20.0;2247.51
33;10000.0;4480.0;550.0;144.0;0.0
50;25000.0;26990.0;3000.0;40.0;0.0
64;5000.0;15045.0;2655.0;360.0;0.0
48;15000.0;7490.0;3000.0;108.0;0.0
46;13000.0;18891.0;2099.0;36.0;0.0
34;13000.0;4990.0;2500.0;84.0;0.0
24;27000.0;12317.0;2173.0;84.0;0.0
38;17000.0;8000.0;1000.0;60.0;0.0
40;12000.0;23280.0;0.0;144.0;0.0
52;12000.0;29690.0;5000.0;108.0;0.0
51;8000.0;2573.0;50.0;84.0;0.0
42;18000.0;3990.0;400.0;94.0;1120.0
38;10000.0;16798.2;4000.0;84.0;0.0
62;20000.0;13850.0;5000.0;93.0;0.0
27;17000.0;22896.0;3500.0;18.0;4370.0
50;6000.0;8190.0;3600.0;216.0;1399.25
56;8000.0;19990.0;0.0;288.0;0.0
34;12500.0;6490.0;1150.0;168.0;0.0
51;12000.0;14880.0;5000.0;85.0;2840.0
43;9000.0;7539.0;0.0;217.0;0.0
26;10000.0;17700.0;3000.0;48.0;0.0
41;21000.0;20250.0;2250.0;70.0;0.0
51;9000.0;11250.0;1250.0;228.0;0.0
41;25000.0;29640.0;3300.0;8.0;5545.0225
57;4000.0;5840.0;1500.0;24.0;0.0
52;5000.0;10616.4;1179.6;56.0;0.0
38;15000.0;35165.0;4000.0;108.0;0.0
41;10000.0;23985.0;2665.0;3.0;0.0
45;7000.0;4680.0;520.0;127.0;0.0
24;14000.0;5630.0;3000.0;12.0;0.0
53;7000.0;7970.0;900.0;258.0;980.0
29;15000.0;38032.0;15000.0;84.0;0.0
27;16000.0;11090.0;1500.0;84.0;0.0
49;15000.0;75500.0;10000.0;312.0;0.0
31;7000.0;7560.0;840.0;260.0;0.0
42;10000.0;22980.0;4000.0;169.0;4390.0
24;6000.0;19350.0;2150.0;92.0;2390.0
33;8000.0;3000.0;1185.0;336.0;0.0
41;10000.0;5300.0;300.0;468.0;0.0
30;17000.0;10260.0;0.0;12.0;0.0
48;17000.0;11990.0;1500.0;120.0;0.0
27;17000.0;15347.0;2000.0;12.0;0.0
40;7000.0;15498.0;1866.0;96.0;1867.661667
24;10000.0;10354.0;1200.0;89.0;0.0
41;12500.0;16250.0;0.0;5.0;0.0
34;17000.0;11470.0;15000.0;24.0;4158.85
33;12000.0;20326.0;2259.0;36.0;0.0
25;20000.0;14990.95;10000.0;16.0;2858.6
60;12000.0;20160.0;2240.0;60.0;0.0
53;7000.0;5219.0;2237.0;50.0;0.0
36;8000.0;4320.0;480.0;156.0;0.0
26;4500.0;10089.0;1121.0;300.0;0.0
22;10500.0;5687.0;1005.0;5.0;0.0
27;12000.0;7197.0;800.0;168.0;0.0
23;12000.0;15696.0;20000.0;24.0;0.0
37;7500.0;7829.0;870.0;192.0;0.0
40;12000.0;5120.0;900.0;145.0;0.0
39;12900.0;3800.0;5000.0;60.0;0.0
38;25000.0;24741.0;2749.0;9.0;0.0
50;15000.0;40700.0;5600.0;77.0;0.0
29;6500.0;3220.0;500.0;24.0;0.0
22;13000.0;8990.0;1000.0;18.0;0.0
56;9600.0;21350.0;3050.0;100.0;0.0
41;35000.0;23396.0;3000.0;3.0;0.0
30;4000.0;5500.0;4000.0;23.0;0.0
62;11000.0;10852.0;7000.5;24.0;0.0
48;18000.0;24850.0;3500.0;108.0;0.0
49;10000.0;11725.0;1400.0;168.0;2310.0
