TARGET;GEN_INDUSTRY;GEN_TITLE;ORG_TP_STATE;ORG_TP_FCAPITAL;JOB_DIR
0;Торговля;Рабочий;Частная компания;Без участия;Вспомогательный техперсонал
0;Торговля;Рабочий;Индивидуальный предприниматель;Без участия;Участие в основ. деятельности
0;Информационные технологии;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Образование;Руководитель среднего звена;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Государственная служба;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Торговля;Специалист;Частная компания;Без участия;Адм-хоз. и трансп. службы
0;Другие сферы;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Сельское хозяйство;Рабочий;Частная компания;Без участия;Участие в основ. деятельности
0;Здравоохранение;Руководитель высшего звена;Частная компания;Без участия;Участие в основ. деятельности
0;Образование;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Образование;Служащий;Государственная комп./учреж.;Без участия;Пр-техн. обесп. и телеком.
1;Другие сферы;Работник сферы услуг;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
1;Металлургия/Промышленность/Машиностроение;Рабочий;Частная компания;Без участия;Участие в основ. деятельности
0;Государственная служба;Рабочий;Государственная комп./учреж.;Без участия;Служба безопасности
0;Государственная служба;Высококвалифиц. специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
1;Торговля;Индивидуальный предприниматель;Индивидуальный предприниматель;Без участия;Участие в основ. деятельности
0;;;;;
0;Коммунальное хоз-во/Дорожные службы;Рабочий;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
1;Строительство;Рабочий;Частная компания;Без участия;Участие в основ. деятельности
0;Металлургия/Промышленность/Машиностроение;Специалист;Частная компания;Без участия;Участие в основ. деятельности
0;Образование;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Торговля;Специалист;Частная компания;Без участия;Участие в основ. деятельности
0;Транспорт;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Здравоохранение;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Металлургия/Промышленность/Машиностроение;Рабочий;Индивидуальный предприниматель;Без участия;Участие в основ. деятельности
