Customer Lifetime Value;Income;Monthly Premium Auto;Months Since Last Claim;Months Since Policy Inception;Number of Open Complaints;Number of Policies;Response
18975.45611;65999;237;1;14;0;6;0
4715.321344;0;65;19;56;0;3;0
5018.885233;54500;63;28;17;0;6;0
4932.916345;37260;62;19;42;0;8;0
5744.229745;68987;71;11;40;0;6;0
13891.73567;42305;117;10;62;0;2;0
7380.976717;65706;91;19;86;0;8;0
3090.034104;0;90;7;79;0;1;0
2521.633095;53243;66;4;15;2;1;0
2652.061785;0;70;7;1;1;1;0
2771.045031;50071;71;3;32;0;1;1
3939.00637;60021;99;12;28;0;1;1
12231.87968;43244;103;15;16;0;2;0
2443.665166;92834;61;15;56;0;1;0
12819.10289;10105;172;5;4;3;3;0
4468.510542;0;73;7;57;3;5;0
5514.344018;23218;71;7;10;0;4;0
3343.875326;0;92;11;77;0;1;0
2294.478927;0;62;11;56;0;1;0
36707.42639;24804;104;1;28;0;2;0
33473.34946;33190;106;18;95;0;2;1
7983.431709;36014;69;4;40;3;2;0
4854.745666;29834;64;19;44;0;3;0
4293.997319;16701;113;20;26;0;1;0
7164.395543;46623;91;1;53;0;3;0
7619.5158;64749;64;24;59;0;2;0
3958.002823;0;101;29;12;0;1;0
4499.493252;16969;124;34;47;2;1;0
4059.567414;11621;108;4;98;0;1;0
4458.113369;17622;65;1;36;1;3;0
8110.333139;11489;105;4;50;0;6;0
3339.764873;0;94;20;53;0;1;0
24261.01777;66525;100;0;86;0;2;0
6613.973653;0;63;21;28;0;2;0
2930.693543;33663;73;29;71;0;1;0
8672.194272;22547;112;7;60;0;3;0
11638.66926;61486;97;5;65;0;2;0
6846.150323;0;95;13;20;0;5;0
11727.77648;29879;102;17;0;0;2;0
22643.83478;93011;113;17;12;0;2;0
2614.474305;65186;65;29;27;0;1;0
2451.752695;26840;64;1;47;2;1;0
6781.270203;0;104;30;3;1;5;0
4974.801539;75644;65;5;68;3;9;0
8591.604933;38984;73;27;38;0;2;0
5592.161392;71811;71;17;48;0;6;0
8009.472833;20961;67;20;33;0;2;0
11318.08982;38923;99;6;83;2;2;0
58166.55351;61321;186;0;30;1;2;0
8025.229358;0;77;20;26;0;2;0
5780.182197;51066;74;23;0;0;8;0
4118.539113;34378;102;12;54;0;1;0
2523.07015;43072;63;35;15;0;1;0
6554.216396;25222;90;28;69;0;3;0
7703.397294;36765;66;15;32;1;2;0
5926.729379;23091;96;28;90;5;5;0
2683.470677;48269;69;3;79;3;1;0
2695.182419;32720;67;13;12;0;1;0
6047.02516;20396;76;15;60;1;4;0
13171.01282;21513;119;21;81;1;2;0
10656.88195;72540;88;7;3;0;2;0
2527.653796;80744;63;24;84;0;1;0
2672.095756;52822;67;23;88;0;1;0
5313.294035;0;77;8;10;1;9;0
20946.19251;69738;74;2;26;1;2;0
8375.353929;17780;109;12;18;0;9;0
4801.661503;18107;62;29;11;0;8;0
5745.94334;57740;74;30;87;3;9;0
6066.115969;32627;76;11;60;0;7;0
8002.308333;0;107;3;65;0;3;0
2393.915369;0;70;24;10;0;1;0
4762.8179;65795;62;2;85;1;3;0
4330.38602;60475;107;9;18;0;1;0
9402.729769;0;130;28;88;0;4;0
6966.694527;41837;88;29;93;0;9;0
7694.064293;32303;65;13;34;0;2;0
8717.561149;0;117;5;89;1;3;0
5928.748528;40531;74;17;32;0;9;0
2452.977288;79898;62;5;86;1;1;0
6701.571657;56398;85;4;18;0;7;0
7556.24034;35257;98;16;2;1;8;0
8492.6988;27804;109;19;54;0;7;0
7713.494046;45506;66;16;32;2;2;0
24084.5352;65196;67;0;54;0;2;0
7290.069769;0;102;11;70;1;3;0
4772.943848;20993;133;35;90;0;1;0
6806.491395;37839;86;35;77;0;9;0
2469.781334;92711;62;24;10;0;1;0
3103.923041;74665;78;10;90;2;1;0
2981.875575;0;83;26;89;0;1;0
8902.737595;46833;112;6;3;0;9;0
5499.447223;88768;68;17;77;0;7;0
15023.59858;28262;192;9;77;0;3;0
2509.107875;33555;63;17;11;0;1;0
31221.7481;42780;113;10;27;1;2;0
3133.503432;58850;78;20;26;0;1;0
3837.451863;21880;97;29;37;0;1;0
11790.49617;25251;66;13;43;0;2;0
7838.068321;0;69;9;12;0;2;0
4305.808345;24188;109;14;82;0;1;0
5973.976904;41611;74;14;8;0;8;0
5670.442396;28406;72;16;35;1;4;0
4731.749346;69833;118;32;99;0;1;0
8026.379641;0;74;15;91;0;2;0
4022.963529;0;117;6;1;0;1;0
9618.310865;80536;119;5;83;0;3;0
2274.775451;0;63;2;5;0;1;0
9552.926922;97732;79;0;70;0;2;0
10388.55323;61222;89;20;55;0;2;0
2470.121222;0;74;7;20;0;1;0
5619.068508;50335;140;9;54;0;1;0
9047.119209;0;127;30;11;0;6;0
6692.143668;63221;168;28;49;0;1;0
3731.504584;0;96;31;34;0;1;0
3660.770258;64495;92;34;30;0;1;0
7928.829252;0;72;7;75;0;2;0
5011.751577;28859;67;24;51;3;4;0
7988.258292;77330;99;0;21;0;3;0
3885.456401;0;105;3;92;0;1;0
2659.337982;24495;70;29;65;0;1;0
8564.768226;95697;107;29;29;0;9;0
4885.162511;26372;126;11;7;0;1;0
9753.307106;17514;127;2;5;0;3;0
2946.153697;89270;74;17;90;0;1;0
2581.110945;29757;65;13;55;0;1;0
3517.385764;51814;92;28;89;0;1;0
9743.350113;24028;82;14;27;0;2;0
3873.647046;28142;105;18;50;0;1;0
7649.28199;52705;64;14;8;1;2;0
2287.59692;0;63;1;5;0;1;0
4475.424592;84903;111;7;63;0;1;0
8714.922135;0;118;14;64;0;4;0
2248.449633;24910;63;7;63;1;1;0
7416.197322;0;77;15;12;2;2;0
7771.158973;21876;68;12;28;0;2;0
6968.3419;0;69;33;61;1;2;0
4250.282624;0;61;17;1;1;7;0
19776.56654;70699;82;1;57;0;2;0
21343.46599;0;74;11;85;1;2;0
