longdist;internat;local;int_disc;billtype;pay;age;gender;marital;children;income;churn
27,09;0;39,74;Нет;Бюджетный;CC;35;Женский;Женат;0;77680;0
;0;46,31;Нет;;;53;Мужской;Одинокий;1;37111,5;0
23,76;0;;;Бюджетный;Auto;;Женский;;1;37079,4;0
9,4;;13,9;Нет;;CH;;Мужской;Одинокий;;81997;0
14,15;0;108,43;Да;Бесплатный;Auto;39;Женский;Одинокий;0;16829,6;0
7,68;;;Нет;;CC;57;;;1;57272,7;0
27,37;0,2;48,9;Да;Бесплатный;CH;;Женский&*;;1;;1
5,35;;;Да;;;55;Женский&*;Одинокий;0;40200,7;1
14,77;0;30,42;Нет;Бесплатный;CH;86;Мужской;;0;92167,3;0
24,73;;21,17;Нет;Бюджетный;CC;28;Мужской;Одинокий;0;37135,5;1
6,09;4,19;44,91;Нет;Бюджетный;CH;62;Женский;Женат;0;18831,1;1
18,57;0;56,66;Нет;Бюджетный;CD;73;Мужской&*;Женат;0;19654,9;0
24,29;0;13,73;Нет;Бюджетный;CD;62;Мужской&*;Одинокий;2;49059,4;0
10,69;0;38,39;Нет;Бюджетный;CH;23;Мужской&*;Женат;2;24457,6;1
26,67;0;71,98;Нет;Бюджетный;CC;73;Женский;Женат;0;76660,7;0
6,12;0;14,79;Нет;Бесплатный;CH;58;Мужской;Женат;1;4054,55;0
19,46;7,11;64,51;Нет;Бюджетный;CH;28;Женский;Одинокий;2;90364,4;1
18,42;6,46;28,07;Да;Бесплатный;CH;35;Женский&*;Женат;2;50968,9;1
10,97;0;60;Да;Бесплатный;CH;45;Мужской;Женат;0;27170,6;0
22,18;0;149,73;Нет;Бесплатный;CC;41;Мужской;Одинокий;1;52231,5;0
0;0;4,15;Да;Бесплатный;CH;40;Женский&*;_Одинокий;0;56016;1
20,7;0;20,06;Нет;Бюджетный;CC;93;Мужской;_Женат;1;25949;0
15,51;0;5,1;Нет;Бюджетный;CC;46;Мужской;Же&нат;0;34805,5;0
0;0;4,83;Нет;Бесплатный;CC;59;Мужской;Одинокий;0;60111,8;1
13,15;0;33,94;Нет;Бесплатный;CH;37;Мужской;_Одинокий;1;13126,9;0
5,66;0;10,2;Нет;Бюджетный;Auto;36;Женский;_Женат;2;96283,6;0
24,15;0;10,48;Да;Бюджетный;CC;38;Женский;_Женат;0;17499,2;0
29,68;4,22;233,99;Да;Бюджетный;Auto;32;Женский;Же&нат;1;47211,6;1
18,75;0;7,62;Да;Бюджетный;CC;21;Мужской;Женат;0;57596,1;0
21,11;0;25,9;Нет;Бесплатный;CH;56;Мужской;Женат;0;55501,6;0
28,83;4,75;13,53;Да;Бюджетный;CC;39;Мужской;Женат;1;39229,1;1
15,79;0;77,73;Нет;Бесплатный;CC;52;Женский;Женат;0;67026,6;1
7,35;0;12,11;Да;Бюджетный;CH;78;Мужской;Женат;0;54864,6;0
0,74;0;8,89;Да;Бесплатный;CH;44;Мужской;Одинокий;2;11861,4;0
18,35;0;50,12;Нет;Бюджетный;CC;80;Мужской;Одинокий;1;13141,5;0
21,06;0;8,96;Нет;Бесплатный;CH;20;Мужской;Женат;2;66312,2;0
14,82;0;99,52;Нет;Бюджетный;CH;83;Мужской;Одинокий;1;65867,1;0
14,14;0;30,33;Нет;Бесплатный;Auto;30;Женский;Женат;0;20058,4;0
25,4;2,68;69,95;Нет;Бесплатный;CC;74;Женский;Одинокий;1;52307;1
0,82;0;103,01;Нет;Бесплатный;CC;90;Женский;Женат;1;60034,9;0
19,33;0;10,67;Нет;Бюджетный;CC;88;Женский;Женат;2;66906,6;1
18,88;0;96,3;Нет;Бесплатный;CH;79;Мужской;Женат;1;37571,1;0
8,79;0;23,94;Нет;Бюджетный;Auto;62;Мужской;Одинокий;2;10219;0
12,09;0;119,02;Да;Бюджетный;Auto;28;Мужской;Женат;1;52750,8;0
0;0;0,82;Да;Бесплатный;CC;86;Мужской;Женат;1;87073,1;1
1,77;0;98,71;Нет;Бесплатный;CC;29;Мужской;Одинокий;0;49127,2;0
25,03;7,33;54,8;Да;Бюджетный;CH;55;Женский;Одинокий;2;8392,14;1
22,98;0;32,37;Нет;Бесплатный;CC;34;Женский;Одинокий;2;90856,9;0
29,2;0,02;29,39;Нет;Бюджетный;CC;40;Мужской;Женат;2;24329,4;0
8,62;0;8,49;Нет;Бюджетный;CH;43;Мужской;Женат;0;33935,8;0
15,2;0;295,31;Нет;Бесплатный;CC;71;Мужской;Женат;1;98967,7;0
19,98;0;10,47;Нет;Бюджетный;CC;51;Мужской;Женат;1;64880;0
20,14;0;28,69;Нет;Бесплатный;Auto;58;Женский;Женат;0;91446,4;0
6,31;0;32,5;Нет;Бесплатный;CC;53;Мужской;Женат;2;50290,7;0
26,05;0;114,28;Нет;Бюджетный;CH;97;Мужской;Женат;2;40844,4;0
26,67;6,97;5,95;Нет;Бюджетный;Auto;41;Женский;Женат;1;84388,5;1
7,35;0;47,44;Нет;Бюджетный;CC;33;Мужской;Женат;1;19173,6;0
11,75;0;54,84;Да;Бесплатный;CH;62;Женский;Одинокий;2;13965,4;1
6,73;0;36,36;Нет;Бюджетный;CC;72;Мужской;Женат;0;96188,2;0
2,06;0;16,6;Нет;Бесплатный;CH;28;Мужской;Одинокий;2;39700,3;1
16,07;1,54;130,35;Нет;Бюджетный;CC;77;Женский;Женат;2;37155;1
3,74;0;15,13;Нет;Бюджетный;CC;68;Мужской;Женат;0;55059,2;0
0;0;2,64;Нет;Бюджетный;Auto;93;Женский;Женат;1;50290,7;1
21,27;0;218,12;Нет;Бюджетный;CH;60;Женский;Одинокий;2;95930,6;1
23,06;0;5,94;Да;Бюджетный;CC;18;Мужской;Женат;0;40728,7;0
0;0;3,45;Да;Бюджетный;CH;49;Женский;Одинокий;0;45818,7;1
2,77;0;9,36;Нет;Бюджетный;CC;45;Мужской;Женат;0;70239,8;0
3,24;0;42,3;Да;Бюджетный;CC;71;Женский;Женат;0;67812,8;1
3,45;4,18;117,34;Нет;Бюджетный;Auto;76;Женский;Женат;0;35697,5;1
13,77;0;47,99;Нет;Бюджетный;CC;58;Мужской;Одинокий;2;4123,46;0
10,66;0,6;286,24;Нет;Бюджетный;CC;64;Женский;Женат;1;79734,6;1
23,17;0;44,32;Нет;Бесплатный;Auto;93;Женский;Одинокий;0;32480,3;0
4,81;0;52,04;Да;Бесплатный;CC;91;Женский;Женат;2;8502,99;1
29,27;6,33;109,86;Нет;Бесплатный;CH;29;Мужской;Одинокий;0;18861,6;1
23,66;7,94;61;Нет;Бюджетный;Auto;49;Мужской;Женат;1;20478,6;1
0;0;0,73;Нет;Бесплатный;CC;75;Женский;Женат;0;41138,2;1
23,78;0;114,44;Да;Бюджетный;CH;45;Мужской;Женат;2;37877,6;0
24,6;0;76,64;Нет;Бюджетный;CC;95;Женский;Одинокий;2;7659,09;1
4,2;0;114,63;Нет;Бюджетный;CH;81;Женский;Женат;2;3193,6;1
23,24;1,05;34,1;Нет;Бесплатный;Auto;61;Мужской;Женат;1;83039,2;1
27,43;0;42,53;Нет;Бюджетный;CC;53;Мужской;Женат;2;14500,3;0
20,53;6,39;59,39;Да;Бюджетный;CC;33;Женский;Женат;0;60170,1;1
12,44;0;16,62;Нет;Бюджетный;Auto;18;Женский;Женат;1;57549,5;0
6,13;0;31,45;Да;Бесплатный;CH;25;Женский;Женат;2;295,94;1
6,99;0;64,41;Нет;Бюджетный;CC;76;Мужской;Одинокий;2;59592,6;0
28,58;0;160,27;Да;Бюджетный;CH;63;Мужской;Женат;0;97603,6;0
18,79;0;45,63;Нет;Бесплатный;CC;48;Мужской;Женат;1;75818,9;0
8,95;6,2;11,95;Нет;Бесплатный;CC;93;Женский;Одинокий;1;46771,2;1
0;0;1,48;Нет;Бюджетный;CH;94;Мужской;Одинокий;0;13946,8;0
0;0;4,14;Нет;Бюджетный;Auto;52;Женский;Женат;0;85073,7;1
22,62;0;25,76;Нет;Бюджетный;CC;37;Мужской;Женат;0;11693,3;0
0;0;2,86;Да;Бюджетный;Auto;59;Мужской;Женат;2;18686,3;1
27,44;0;53,85;Да;Бесплатный;CC;65;Женский;Одинокий;0;73918,3;1
23,13;0;23,33;Нет;Бюджетный;CC;22;Женский;Женат;1;25863,8;1
16,61;0;50,69;Нет;Бюджетный;CC;55;Мужской;Женат;1;41334,1;0
8,62;0;8,49;Нет;Бюджетный;CH;43;Мужской;Женат;0;33935,8;0
26,23;0;188,74;Нет;Бюджетный;CC;32;Женский;Одинокий;2;63041,1;0
21,53;0;26,54;Да;Бюджетный;CC;31;Женский;Женат;2;55977,7;0
0,09;0;19,91;Да;Бюджетный;Auto;96;Мужской;Женат;1;48713,6;0
18,61;0;33,54;Нет;Бюджетный;CC;91;Мужской;Женат;1;16785,9;0
27,44;6,66;39,7;Нет;Бюджетный;CC;81;Женский;Женат;2;94159,9;1
28,68;1,37;13,29;Нет;Бюджетный;CC;40;Женский;Женат;0;47750,4;1
23,86;0;9,48;Нет;Бесплатный;Auto;34;Мужской;Одинокий;2;59753,2;0
0;0;3,71;Нет;Бюджетный;CC;19;Женский;Одинокий;1;90205,6;1
16,06;0;30,24;Нет;Бюджетный;CH;39;Мужской;Женат;1;89928,5;0
29,46;0;10,87;Нет;Бюджетный;CC;69;Женский;Одинокий;0;45310,4;1
23,09;0,86;88,83;Да;Бесплатный;CC;62;Женский;Женат;2;127,24;0
19,55;0;102,49;Нет;Бесплатный;CH;34;Женский;Одинокий;1;95986;0
16,78;3,52;12,94;Нет;Бесплатный;CC;54;Женский;Женат;1;27376;1
24,65;0;48,54;Да;Бюджетный;CC;65;Женский;Женат;0;17700,4;1
13,94;6,61;78,22;Нет;Бесплатный;CC;68;Женский;Женат;1;81641,2;0
20,59;0;50,33;Нет;Бюджетный;CC;86;Женский;Женат;0;2530,76;0
11,06;0;40,82;Нет;Бюджетный;CC;27;Мужской;Одинокий;2;4335,86;1
19,26;0;52,78;Нет;Бесплатный;CC;30;Женский;Женат;1;17866,9;0
11,68;0;51,92;Да;Бесплатный;CH;57;Мужской;Женат;2;66634,9;0
16;3,05;32,49;Да;Бесплатный;CC;93;Мужской;Одинокий;1;14258,4;1
25,89;0;5,87;Нет;Бесплатный;CC;50;Женский;Женат;2;38281,1;1
0;0;0,46;Нет;Бесплатный;CH;77;Женский;Одинокий;0;36434,3;1
9,17;0;13,61;Нет;Бюджетный;CH;25;Мужской;Женат;0;52366,4;0
26,57;0;25,27;Нет;Бесплатный;CC;81;Женский;Женат;0;71816,1;0
22,15;0;8,92;Да;Бюджетный;CC;35;Мужской;Женат;1;38997,7;0
16,46;0;57,66;Да;Бесплатный;CC;93;Женский;Одинокий;0;74912,1;1
25,33;0;51;Нет;Бесплатный;Auto;35;Мужской;Женат;1;32238,2;0
17,35;0;95,97;Да;Бюджетный;CC;93;Женский;Женат;1;20013,2;0
20,41;0;81,48;Нет;Бесплатный;CC;86;Женский;Женат;0;85180,1;1
17,09;0;48,98;Нет;Бюджетный;CH;27;Мужской;Женат;0;85079,5;0
21,27;0;218,12;Нет;Бюджетный;CH;60;Женский;Одинокий;2;95930,6;1
6,13;0;31,45;Да;Бесплатный;CH;25;Женский;Женат;2;295,94;1
24,02;3,41;183,62;Нет;Бюджетный;Auto;44;Женский;Женат;1;7700,73;1
0;0;2,98;Да;Бесплатный;CH;68;Мужской;Женат;0;14955,8;1
26,19;0;18,2;Да;Бюджетный;CC;46;Мужской;Женат;1;44065,4;0
7,97;0;23,77;Нет;Бесплатный;CC;68;Мужской;Одинокий;1;83556,7;0
0;0;0,36;Нет;Бюджетный;CC;25;Мужской;Женат;0;4545,11;1
2,02;0;189,52;Нет;Бесплатный;Auto;87;Мужской;Одинокий;0;32683,9;0
24,95;0;29,11;Нет;Бесплатный;CC;89;Женский;Одинокий;2;27492,2;1
0,39;0;16,01;Да;Бесплатный;CC;68;Женский;Женат;0;99832,9;1
2,47;4,41;107,7;Да;Бесплатный;CC;46;Женский;Одинокий;0;50451,6;1
28,24;0;66,5;Нет;Бесплатный;CC;21;Мужской;Одинокий;1;48107,2;0
26,79;0;17,44;Нет;Бесплатный;CH;56;Женский;Женат;0;11268,3;1
25,42;0;56,09;Да;Бюджетный;CH;34;Женский;Одинокий;0;91147,5;0
0;0;2,31;Нет;Бюджетный;Auto;61;Женский;Женат;1;79324,7;1
17,73;0;5,43;Нет;Бюджетный;CC;45;Женский;Женат;0;41947,8;0
29,86;8,33;70,59;Нет;Бюджетный;Auto;94;Женский;Женат;1;15862,7;1
13,68;0;166,83;Нет;Бюджетный;Auto;83;Мужской;Одинокий;0;90513,2;0
11,26;0;83,64;Да;Бюджетный;CH;73;Женский;Одинокий;2;85184,6;1
13,16;0;35,87;Да;Бесплатный;CC;21;Мужской;Женат;2;61825,5;0
19,96;9,9;101,09;Да;Бюджетный;CC;66;Мужской;Одинокий;0;57122,2;1
0,28;0;8,54;Да;Бюджетный;CH;28;Женский;Женат;2;20850,4;1
21,5;0;47,22;Нет;Бесплатный;CC;94;Женский;Женат;0;87251,8;1
28,58;0;91,57;Нет;Бюджетный;CC;75;Мужской;Женат;0;47131,5;0
25,65;0;15,31;Да;Бюджетный;CH;83;Мужской;Женат;1;9132,91;0
4,51;0;16,36;Нет;Бюджетный;CC;83;Женский;Одинокий;1;78854,9;1
12,33;9,92;64;Нет;Бесплатный;CH;33;Женский;Одинокий;2;13669,8;0
4,59;7,66;8,49;Нет;Бюджетный;CC;95;Мужской;Одинокий;0;38872,3;1
16,46;0;57,66;Да;Бесплатный;CC;93;Женский;Одинокий;0;74912,1;1
14,9;0;26,57;Нет;Бюджетный;Auto;93;Мужской;Одинокий;1;28485,7;0
0;0;3,42;Нет;Бесплатный;CC;26;Мужской;Женат;0;10095,8;1
12,75;0;109,84;Да;Бесплатный;CH;27;Женский;Одинокий;1;54370,7;0
18,32;5,68;31,28;Нет;Бесплатный;CC;56;Мужской;Одинокий;0;44143,1;1
20,38;0;31,87;Нет;Бесплатный;Auto;37;Мужской;Одинокий;2;34524,7;0
0,39;0;16,01;Да;Бесплатный;CC;68;Женский;Женат;0;99832,9;1
20,7;0;20,06;Нет;Бюджетный;CC;93;Мужской;Женат;1;25949;0
2,36;0;36,91;Да;Бесплатный;CH;61;Мужской;Женат;1;15865,5;0
19,33;0;10,67;Нет;Бюджетный;CC;88;Женский;Женат;2;66906,6;1
11,91;0;134,4;Нет;Бесплатный;CC;57;Мужской;Одинокий;2;91136,2;0
17,52;0;47,51;Нет;Бюджетный;CH;43;Мужской;Одинокий;2;57976,7;0
19,04;0;29,4;Нет;Бесплатный;CH;47;Мужской;Одинокий;0;64295,2;0
27,9;0;6,58;Да;Бесплатный;CC;19;Женский;Женат;1;73089,7;0
19,46;7,11;64,51;Нет;Бюджетный;CH;28;Женский;Одинокий;2;90364,4;1
14,21;0;43,02;Нет;Бесплатный;CC;38;Женский;Женат;0;56518,4;0
5,19;0;30;Нет;Бесплатный;CC;90;Женский;Женат;1;41416,8;1
8,72;0;8,47;Да;Бесплатный;CC;27;Мужской;Одинокий;0;86631,9;0
0;0;3,82;Да;Бесплатный;CC;19;Женский;Одинокий;1;44566,6;1
29,31;0,01;54,82;Нет;Бесплатный;CC;65;Мужской;Женат;2;54370,8;0
14,02;5,68;29,81;Нет;Бюджетный;CC;34;Мужской;Одинокий;0;87467,1;0
12,69;0;5,06;Нет;Бюджетный;CC;44;Женский;Женат;0;1461,98;1
8,81;0;9,29;Да;Бюджетный;Auto;31;Женский;Одинокий;0;41856,2;0
24,6;0;76,64;Нет;Бюджетный;CC;95;Женский;Одинокий;2;7659,09;1
8,12;0;33,23;Да;Бюджетный;CC;60;Мужской;Женат;2;67933,8;0
24,69;8,59;31,79;Нет;Бесплатный;CH;85;Женский;Одинокий;0;66502,3;1
0;0;4,87;Нет;Бесплатный;CH;19;Мужской;Женат;0;76071,2;1
20,75;0;24,52;Нет;Бюджетный;CC;20;Мужской;Одинокий;2;68140,5;0
18,67;0;12,22;Да;Бесплатный;CC;39;Женский;Женат;1;23012,6;0
0,1;0;29,74;Нет;Бюджетный;CC;59;Женский;Женат;0;50290,7;1
13,96;0;7,73;Да;Бюджетный;CH;43;Мужской;Женат;1;15425,3;0
14,67;6,33;15,92;Нет;Бесплатный;CC;69;Женский;Одинокий;0;86735,5;0
4,59;7,66;8,49;Нет;Бюджетный;CC;95;Мужской;Одинокий;0;38872,3;1
19,93;3,71;42,22;Да;Бюджетный;CC;86;Женский;Женат;1;99248,1;1
18,19;0;19,46;Да;Бесплатный;Auto;81;Женский;Женат;1;77622,9;1
0;0;3,26;Нет;Бюджетный;Auto;21;Женский;Женат;0;73701,9;1
10,61;0,13;159,89;Да;Бюджетный;Auto;40;Мужской;Одинокий;2;88943,9;0
0;0;2,27;Нет;Бюджетный;Auto;93;Мужской;Одинокий;0;44173,9;1
29,94;0;48,61;Нет;Бесплатный;CC;56;Женский;Одинокий;1;49553,9;1
13,16;0;35,87;Да;Бесплатный;CC;21;Мужской;Женат;2;61825,5;0
22,35;0;13,61;Нет;Бюджетный;CC;26;Женский;Одинокий;0;41340,6;0
19,19;3,62;72,74;Нет;Бюджетный;CC;21;Женский;Женат;2;75323,4;0
0;0;2,36;Нет;Бюджетный;CC;81;Мужской;Женат;0;23289,7;1
25,63;0;5,34;Нет;Бюджетный;CC;51;Мужской;Одинокий;0;2630,4;0
28,15;0;22,92;Нет;Бюджетный;CH;60;Женский;Женат;2;48874,7;1
0;0;3,42;Нет;Бесплатный;CC;26;Мужской;Женат;0;10095,8;1
28,64;0;9,82;Нет;Бесплатный;CC;59;Женский;Одинокий;1;61205,6;1
3,86;0;20,85;Нет;Бесплатный;CH;62;Мужской;Одинокий;1;47503,9;0
25,36;0;51,25;Нет;Бюджетный;Auto;26;Мужской;Одинокий;1;72649,3;0
23,52;0;14,27;Нет;Бесплатный;CC;31;Мужской;Женат;2;11254,9;0
17,13;0;14,07;Да;Бесплатный;CH;37;Мужской;Женат;0;52355,1;0
3,33;0;99,32;Нет;Бюджетный;Auto;91;Женский;Женат;0;99309;1
0;0;2,94;Да;Бюджетный;CC;31;Женский;Женат;1;43787;1
14,05;4,43;114,32;Нет;Бюджетный;CC;92;Женский;Одинокий;2;47396,2;1
3,1;0;6,43;Нет;Бюджетный;CC;65;Мужской;Женат;0;30057,4;0
23,09;0;38,29;Нет;Бюджетный;CC;40;Женский;Женат;1;21126,7;1
5,56;0;9,36;Да;Бюджетный;CC;68;Женский;Женат;2;81000,9;1
1,81;0;38,35;Да;Бюджетный;CC;58;Мужской;Одинокий;0;56286,8;0
14,73;0;22,8;Да;Бесплатный;CH;97;Мужской;Женат;2;1585,99;0
1,69;0;67,35;Нет;Бюджетный;Auto;49;Мужской;Одинокий;0;41862,6;0
15,15;0;22,39;Нет;Бюджетный;Auto;37;Мужской;Одинокий;0;79245,1;0
26,55;2,65;17,36;Нет;Бюджетный;CC;45;Женский;Женат;1;8469,02;1
0;0;3;Нет;Бесплатный;CC;93;Женский;Женат;2;96926,2;1
0,45;0;73,01;Нет;Бесплатный;Auto;88;Женский;Женат;2;73865,9;1
14,4;0;20,97;Нет;Бюджетный;CC;49;Женский;Женат;2;48334,1;1
18;0;133,76;Нет;Бесплатный;CC;20;Женский;Женат;2;59758,4;0
0;0;5;Да;Бюджетный;CH;29;Женский;Одинокий;1;21529,1;1
