iter	Passed	Remaining
0	0	869
1	1	763
2	1	620
3	2	631
4	3	645
5	4	663
6	4	626
7	5	623
8	5	634
9	6	618
10	6	598
11	7	595
12	7	595
13	8	594
14	8	587
15	9	572
16	9	572
17	10	567
18	11	574
19	11	571
20	12	564
21	12	563
22	13	559
23	13	559
24	14	558
25	14	558
26	15	552
27	15	552
28	16	549
29	17	549
30	17	549
31	18	549
32	18	549
33	19	544
34	19	547
35	20	546
36	20	546
37	21	547
38	22	545
39	22	541
40	23	539
41	23	538
42	24	538
43	24	538
44	25	541
45	26	542
46	26	542
47	27	542
48	27	539
49	28	535
50	28	536
51	29	536
52	30	537
53	30	537
54	31	538
55	32	541
56	32	538
57	33	540
58	33	540
59	34	541
60	35	541
61	35	539
62	36	539
63	36	539
64	37	540
65	38	541
66	38	540
67	39	541
68	40	541
69	40	539
70	41	538
71	41	537
72	42	537
73	42	537
74	43	537
75	43	532
76	44	536
77	45	538
78	46	538
79	46	539
80	47	540
81	48	540
82	48	540
83	49	539
84	50	539
85	50	536
86	51	536
87	51	537
88	52	537
89	53	537
90	54	540
91	54	542
92	55	540
93	56	542
94	56	538
95	57	545
96	58	543
97	58	542
98	59	543
99	60	543
100	60	542
101	61	542
102	62	542
103	63	543
104	63	544
105	64	544
106	65	544
107	65	543
108	66	544
109	67	544
110	68	545
111	68	545
112	69	544
113	69	542
114	70	543
115	70	540
116	71	539
117	72	539
118	72	537
119	73	537
120	73	537
121	74	536
122	75	536
123	75	536
124	76	536
125	77	537
126	77	535
127	78	534
128	79	535
129	79	535
130	80	535
131	81	534
132	82	534
133	82	534
134	83	534
135	84	534
136	84	534
137	85	534
138	86	534
139	87	535
140	87	534
141	88	534
142	89	534
143	89	532
144	90	532
145	91	532
146	91	531
147	91	528
148	92	527
149	93	528
150	93	528
151	94	527
152	95	528
153	96	528
154	96	528
155	97	528
156	98	528
157	99	528
158	99	528
159	100	528
160	101	528
161	102	528
162	102	527
163	103	527
164	104	526
165	104	526
166	105	525
167	105	524
168	106	524
169	107	525
170	108	524
171	109	524
172	109	524
173	110	523
174	111	523
175	111	523
176	112	523
177	112	521
178	113	521
179	114	520
180	115	520
181	115	520
182	116	520
183	117	520
184	118	519
185	118	519
186	119	519
187	120	518
188	120	518
189	121	518
190	122	518
191	122	516
192	123	515
193	123	515
194	124	514
195	125	514
196	125	513
197	126	513
198	127	512
199	128	512
200	128	510
201	129	510
202	129	509
203	130	509
204	131	508
205	131	508
206	132	508
207	133	507
208	134	507
209	134	507
210	135	506
211	136	506
212	136	505
213	137	505
214	138	505
215	139	505
216	139	504
217	140	503
218	141	503
219	141	502
220	142	502
221	143	501
222	143	500
223	144	500
224	145	500
225	145	499
226	146	499
227	147	498
228	148	498
229	148	498
230	149	497
231	150	497
232	150	496
233	151	496
234	152	495
235	152	495
236	153	494
237	154	493
238	154	493
239	155	492
240	156	492
241	156	491
242	157	490
243	158	491
244	159	490
245	159	490
246	160	489
247	161	489
248	162	488
249	162	488
250	163	487
251	164	486
252	164	486
253	165	486
254	166	485
255	166	485
256	167	484
257	168	484
258	169	483
259	169	483
260	170	483
261	171	482
262	171	481
263	173	482
264	173	482
265	174	481
266	175	481
267	176	480
268	176	480
269	177	479
270	178	479
271	178	478
272	179	477
273	180	477
274	180	476
275	181	476
276	182	475
277	182	475
278	183	475
279	184	474
280	185	474
281	186	473
282	186	472
283	187	472
284	188	471
285	188	471
286	189	471
287	190	470
288	190	469
289	191	468
290	192	468
291	192	467
292	193	466
293	193	465
294	194	465
295	195	464
296	196	463
297	196	463
298	197	463
299	198	463
300	199	462
301	199	462
302	200	461
303	201	460
304	202	460
305	202	459
306	203	458
307	204	458
308	204	457
309	205	457
310	206	457
311	207	456
312	207	455
313	208	455
314	209	454
315	209	453
316	210	452
317	211	452
318	211	451
319	212	450
320	212	450
321	213	449
322	214	448
323	214	448
324	215	447
325	216	446
326	216	445
327	217	445
328	218	444
329	218	444
330	219	443
331	220	442
332	220	442
333	221	441
334	222	441
335	222	440
336	223	439
337	224	438
338	224	437
339	225	437
340	226	437
341	226	436
342	227	435
343	228	435
344	228	434
345	229	433
346	229	432
347	230	431
348	231	431
349	231	430
350	232	429
351	233	429
352	233	428
353	234	427
354	235	427
355	236	427
356	236	426
357	237	425
358	238	425
359	238	424
360	239	423
361	240	423
362	240	422
363	241	421
364	242	421
365	242	420
366	243	419
367	243	418
368	244	418
369	245	417
370	245	416
371	246	415
372	247	415
373	248	415
374	248	414
375	249	413
376	249	413
377	250	412
378	251	411
379	251	410
380	252	410
381	252	409
382	253	408
383	254	407
384	254	406
385	255	406
386	256	405
387	256	405
388	257	404
389	257	403
390	258	402
391	258	401
392	259	401
393	260	400
394	260	399
395	261	398
396	262	398
397	262	397
398	263	396
399	263	395
400	264	395
401	265	394
402	265	393
403	266	393
404	267	392
405	268	392
406	268	391
407	269	390
408	270	390
409	271	390
410	271	389
411	272	388
412	273	388
413	273	387
414	274	386
415	274	385
416	275	385
417	275	384
418	276	383
419	277	382
420	278	382
421	278	381
422	279	380
423	279	380
424	280	379
425	280	378
426	281	377
427	282	377
428	282	376
429	283	375
430	283	374
431	284	374
432	285	373
433	286	372
434	286	372
435	287	371
436	288	371
437	288	370
438	289	369
439	289	368
440	290	368
441	291	367
442	291	366
443	292	366
444	292	365
445	293	364
446	294	363
447	294	363
448	295	362
449	296	361
450	296	361
451	297	360
452	298	360
453	298	359
454	299	358
455	300	358
456	300	357
457	301	356
458	302	356
459	302	355
460	303	354
461	304	354
462	304	353
463	305	352
464	306	352
465	306	351
466	307	351
467	308	350
468	308	349
469	309	349
470	310	348
471	310	347
472	311	347
473	312	346
474	312	345
475	313	345
476	314	344
477	315	344
478	315	343
479	316	343
480	317	342
481	318	341
482	318	341
483	319	340
484	319	339
485	320	339
486	321	338
487	322	337
488	322	337
489	323	336
490	324	335
491	324	335
492	325	334
493	326	334
494	326	333
495	327	332
496	328	332
497	328	331
498	329	331
499	330	330
500	331	330
501	332	329
502	332	328
503	333	328
504	334	327
505	334	326
506	335	326
507	336	325
508	336	324
509	337	324
510	338	323
511	338	323
512	339	322
513	340	322
514	341	321
515	342	321
516	344	321
517	345	321
518	346	320
519	347	320
520	348	320
521	349	319
522	349	319
523	350	318
524	351	317
525	352	317
526	352	316
527	353	316
528	354	315
529	354	314
530	355	314
531	356	313
532	356	312
533	357	312
534	358	311
535	359	311
536	360	310
537	360	309
538	361	309
539	362	308
540	363	307
541	363	307
542	364	306
543	365	306
544	365	305
545	366	304
546	367	304
547	368	303
548	368	302
549	369	302
550	370	301
551	370	300
552	371	300
553	371	299
554	372	298
555	373	298
556	373	297
557	374	296
558	375	296
559	376	295
560	376	294
561	377	294
562	377	293
563	378	292
564	379	292
565	380	291
566	380	290
567	381	290
568	382	289
569	382	288
570	383	287
571	383	287
572	384	286
573	384	285
574	385	285
575	386	284
576	387	283
577	387	283
578	388	282
579	389	281
580	389	281
581	390	280
582	391	279
583	391	279
584	392	278
585	393	277
586	394	277
587	394	276
588	395	275
589	395	275
590	396	274
591	397	274
592	398	273
593	400	273
594	401	272
595	402	272
596	403	272
597	404	271
598	405	271
599	406	270
600	407	270
601	407	269
602	408	269
603	409	268
604	410	267
605	411	267
606	412	266
607	413	266
608	414	265
609	415	265
610	416	265
611	417	264
612	418	263
613	418	263
614	419	262
615	420	262
616	421	261
617	421	260
618	422	260
619	423	259
620	424	258
621	424	258
622	425	257
623	426	256
624	427	256
625	428	255
626	428	255
627	429	254
628	430	253
629	430	252
630	431	252
631	432	251
632	432	250
633	433	250
634	434	249
635	434	248
636	435	248
637	435	247
638	436	246
639	437	246
640	438	245
641	438	244
642	439	243
643	439	243
644	440	242
645	440	241
646	441	240
647	441	240
648	442	239
649	442	238
650	443	237
651	443	236
652	444	236
653	445	235
654	445	234
655	446	234
656	446	233
657	447	232
658	448	231
659	448	231
660	449	230
661	449	229
662	450	228
663	450	228
664	451	227
665	452	226
666	452	225
667	453	225
668	453	224
669	454	223
670	454	222
671	455	222
672	455	221
673	456	220
674	456	219
675	457	219
676	457	218
677	458	217
678	458	216
679	459	216
680	459	215
681	460	214
682	460	213
683	461	213
684	462	212
685	462	211
686	463	211
687	464	210
688	464	209
689	465	209
690	465	208
691	466	207
692	466	206
693	467	206
694	468	205
695	468	204
696	469	203
697	469	203
698	470	202
699	470	201
700	471	201
701	472	200
702	472	199
703	473	198
704	473	198
705	474	197
706	475	196
707	475	196
708	476	195
709	477	194
710	477	194
711	478	193
712	478	192
713	479	192
714	480	191
715	480	190
716	481	189
717	481	189
718	482	188
719	483	187
720	483	187
721	484	186
722	484	185
723	485	185
724	485	184
725	486	183
726	487	182
727	487	182
728	488	181
729	488	180
730	489	180
731	489	179
732	490	178
733	490	177
734	491	177
735	491	176
736	492	175
737	492	175
738	493	174
739	494	173
740	494	172
741	495	172
742	495	171
743	496	170
744	496	169
745	497	169
746	497	168
747	498	167
748	498	167
749	499	166
750	499	165
751	500	164
752	500	164
753	501	163
754	501	162
755	502	162
756	502	161
757	503	160
758	504	160
759	504	159
760	505	158
761	506	158
762	506	157
763	507	156
764	508	156
765	509	155
766	509	154
767	510	154
768	511	153
769	511	152
770	512	152
771	512	151
772	513	150
773	514	150
774	514	149
775	515	148
776	516	148
777	516	147
778	517	146
779	518	146
780	518	145
781	519	144
782	519	144
783	520	143
784	521	142
785	521	142
786	522	141
787	522	140
788	523	139
789	524	139
790	524	138
791	525	138
792	526	137
793	526	136
794	527	136
795	528	135
796	528	134
797	529	134
798	530	133
799	530	132
800	531	132
801	532	131
802	533	130
803	533	130
804	534	129
805	535	128
806	535	128
807	536	127
808	537	126
809	537	126
810	538	125
811	539	124
812	540	124
813	540	123
814	541	122
815	541	122
816	542	121
817	543	120
818	543	120
819	544	119
820	545	118
821	545	118
822	546	117
823	547	116
824	547	116
825	548	115
826	549	114
827	549	114
828	550	113
829	550	112
830	551	112
831	552	111
832	552	110
833	553	110
834	554	109
835	555	108
836	555	108
837	556	107
838	557	106
839	557	106
840	558	105
841	559	104
842	559	104
843	560	103
844	560	102
845	561	102
846	562	101
847	563	100
848	563	100
849	564	99
850	565	98
851	566	98
852	566	97
853	567	97
854	568	96
855	569	95
856	569	95
857	570	94
858	571	93
859	571	93
860	572	92
861	573	91
862	574	91
863	574	90
864	575	89
865	576	89
866	577	88
867	577	87
868	578	87
869	579	86
870	579	85
871	580	85
872	581	84
873	581	83
874	582	83
875	583	82
876	584	81
877	584	81
878	585	80
879	586	79
880	586	79
881	587	78
882	588	77
883	589	77
884	589	76
885	590	75
886	591	75
887	591	74
888	592	73
889	593	73
890	593	72
891	594	71
892	595	71
893	595	70
894	596	69
895	597	69
896	598	68
897	598	68
898	599	67
899	600	66
900	601	66
901	602	65
902	603	64
903	603	64
904	604	63
905	605	62
906	605	62
907	606	61
908	607	60
909	608	60
910	608	59
911	609	58
912	610	58
913	610	57
914	611	56
915	612	56
916	613	55
917	613	54
918	614	54
919	615	53
920	615	52
921	616	52
922	617	51
923	617	50
924	618	50
925	618	49
926	620	48
927	620	48
928	621	47
929	622	46
930	622	46
931	623	45
932	624	44
933	625	44
934	625	43
935	626	42
936	627	42
937	628	41
938	630	40
939	630	40
940	631	39
941	631	38
942	632	38
943	633	37
944	633	36
945	634	36
946	635	35
947	635	34
948	636	34
949	637	33
950	637	32
951	638	32
952	639	31
953	639	30
954	640	30
955	641	29
956	642	28
957	643	28
958	644	27
959	644	26
960	645	26
961	647	25
962	647	24
963	648	24
964	648	23
965	649	22
966	650	22
967	650	21
968	651	20
969	652	20
970	652	19
971	653	18
972	654	18
973	654	17
974	655	16
975	656	16
976	656	15
977	657	14
978	658	14
979	658	13
980	659	12
981	660	12
982	660	11
983	661	10
984	662	10
985	662	9
986	663	8
987	663	8
988	664	7
989	665	6
990	666	6
991	667	5
992	667	4
993	668	4
994	669	3
995	669	2
996	670	2
997	671	1
998	671	0
999	672	0
