Income;Monthly Premium Auto;Months Since Last Claim;Months Since Policy Inception;Number of Open Complaints;Number of Policies;Response
65999;237;1;14;0;6;0
0;65;19;56;0;3;0
54500;63;28;17;0;6;0
37260;62;19;42;0;8;0
68987;71;11;40;0;6;0
42305;117;10;62;0;2;0
65706;91;19;86;0;8;0
0;90;7;79;0;1;0
53243;66;4;15;2;1;0
0;70;7;1;1;1;0
50071;71;3;32;0;1;1
60021;99;12;28;0;1;1
43244;103;15;16;0;2;0
92834;61;15;56;0;1;0
10105;172;5;4;3;3;0
0;73;7;57;3;5;0
23218;71;7;10;0;4;0
0;92;11;77;0;1;0
0;62;11;56;0;1;0
24804;104;1;28;0;2;0
33190;106;18;95;0;2;1
36014;69;4;40;3;2;0
29834;64;19;44;0;3;0
16701;113;20;26;0;1;0
46623;91;1;53;0;3;0
64749;64;24;59;0;2;0
0;101;29;12;0;1;0
16969;124;34;47;2;1;0
11621;108;4;98;0;1;0
17622;65;1;36;1;3;0
11489;105;4;50;0;6;0
0;94;20;53;0;1;0
66525;100;0;86;0;2;0
0;63;21;28;0;2;0
33663;73;29;71;0;1;0
22547;112;7;60;0;3;0
61486;97;5;65;0;2;0
0;95;13;20;0;5;0
29879;102;17;0;0;2;0
93011;113;17;12;0;2;0
65186;65;29;27;0;1;0
26840;64;1;47;2;1;0
0;104;30;3;1;5;0
75644;65;5;68;3;9;0
38984;73;27;38;0;2;0
71811;71;17;48;0;6;0
20961;67;20;33;0;2;0
38923;99;6;83;2;2;0
61321;186;0;30;1;2;0
0;77;20;26;0;2;0
51066;74;23;0;0;8;0
34378;102;12;54;0;1;0
43072;63;35;15;0;1;0
25222;90;28;69;0;3;0
36765;66;15;32;1;2;0
23091;96;28;90;5;5;0
48269;69;3;79;3;1;0
32720;67;13;12;0;1;0
20396;76;15;60;1;4;0
21513;119;21;81;1;2;0
72540;88;7;3;0;2;0
80744;63;24;84;0;1;0
52822;67;23;88;0;1;0
0;77;8;10;1;9;0
69738;74;2;26;1;2;0
17780;109;12;18;0;9;0
18107;62;29;11;0;8;0
57740;74;30;87;3;9;0
32627;76;11;60;0;7;0
0;107;3;65;0;3;0
0;70;24;10;0;1;0
65795;62;2;85;1;3;0
60475;107;9;18;0;1;0
0;130;28;88;0;4;0
41837;88;29;93;0;9;0
32303;65;13;34;0;2;0
0;117;5;89;1;3;0
40531;74;17;32;0;9;0
79898;62;5;86;1;1;0
56398;85;4;18;0;7;0
35257;98;16;2;1;8;0
27804;109;19;54;0;7;0
45506;66;16;32;2;2;0
65196;67;0;54;0;2;0
0;102;11;70;1;3;0
20993;133;35;90;0;1;0
37839;86;35;77;0;9;0
92711;62;24;10;0;1;0
74665;78;10;90;2;1;0
0;83;26;89;0;1;0
46833;112;6;3;0;9;0
88768;68;17;77;0;7;0
28262;192;9;77;0;3;0
33555;63;17;11;0;1;0
42780;113;10;27;1;2;0
58850;78;20;26;0;1;0
21880;97;29;37;0;1;0
25251;66;13;43;0;2;0
0;69;9;12;0;2;0
24188;109;14;82;0;1;0
41611;74;14;8;0;8;0
28406;72;16;35;1;4;0
69833;118;32;99;0;1;0
0;74;15;91;0;2;0
0;117;6;1;0;1;0
80536;119;5;83;0;3;0
0;63;2;5;0;1;0
97732;79;0;70;0;2;0
61222;89;20;55;0;2;0
0;74;7;20;0;1;0
50335;140;9;54;0;1;0
0;127;30;11;0;6;0
63221;168;28;49;0;1;0
0;96;31;34;0;1;0
64495;92;34;30;0;1;0
0;72;7;75;0;2;0
28859;67;24;51;3;4;0
77330;99;0;21;0;3;0
0;105;3;92;0;1;0
24495;70;29;65;0;1;0
95697;107;29;29;0;9;0
26372;126;11;7;0;1;0
17514;127;2;5;0;3;0
89270;74;17;90;0;1;0
29757;65;13;55;0;1;0
51814;92;28;89;0;1;0
24028;82;14;27;0;2;0
28142;105;18;50;0;1;0
52705;64;14;8;1;2;0
0;63;1;5;0;1;0
84903;111;7;63;0;1;0
0;118;14;64;0;4;0
24910;63;7;63;1;1;0
0;77;15;12;2;2;0
21876;68;12;28;0;2;0
0;69;33;61;1;2;0
0;61;17;1;1;7;0
70699;82;1;57;0;2;0
0;74;11;85;1;2;0
27501;63;20;0;0;1;0
15897;101;30;99;0;2;0
25141;73;12;4;1;2;0
0;61;5;46;3;1;0
51066;74;23;0;0;8;0
28358;117;24;37;0;1;0
61846;112;1;48;0;1;0
90972;74;3;47;0;8;0
0;74;3;95;0;7;0
29549;104;17;51;0;1;0
0;115;12;17;1;2;0
39411;217;4;29;2;4;0
21709;62;28;17;0;3;0
67890;85;23;57;0;2;0
0;110;3;16;0;1;0
84311;111;11;98;4;2;0
99316;114;26;53;0;1;0
54507;138;20;11;0;1;0
64586;76;3;17;0;1;0
61709;82;5;41;2;7;0
94656;111;12;79;1;1;0
0;69;5;40;0;1;0
61085;70;27;34;1;1;0
89284;67;7;31;3;2;0
0;63;6;12;0;2;0
31686;81;11;33;0;1;0
56855;255;12;1;0;1;0
53703;67;3;45;2;1;0
0;96;12;35;1;2;0
20396;76;15;60;1;4;0
27679;150;30;28;0;3;0
23904;123;1;67;3;1;0
65351;69;4;54;0;1;0
0;113;20;1;0;7;0
0;63;0;54;3;7;0
0;116;14;35;0;2;0
64459;72;16;64;0;1;0
32961;190;13;53;0;3;0
71416;116;10;0;0;3;0
68964;78;15;6;0;3;0
78108;98;12;34;0;1;0
10621;67;28;22;0;5;0
84910;95;4;69;0;2;0
77493;70;2;35;0;3;0
81097;74;7;67;0;1;0
96610;85;6;23;0;3;0
30110;159;20;71;0;1;0
22081;84;1;9;0;6;0
0;112;12;93;0;3;0
98473;72;19;69;0;1;0
97431;74;1;72;0;3;0
93870;69;1;96;0;8;0
50366;72;9;5;0;9;0
34498;83;30;72;0;7;0
16552;103;23;53;0;2;0
26787;77;7;50;0;5;0
0;74;2;42;0;9;0
43860;65;15;58;0;1;0
21474;114;13;72;2;9;0
18174;66;8;16;0;9;0
0;73;18;45;0;5;0
60920;64;10;61;0;2;0
41520;90;18;70;0;2;0
0;152;12;89;0;1;0
0;68;19;16;0;8;0
72208;73;3;84;0;8;0
53863;63;12;30;0;2;0
66446;136;8;77;0;3;0
0;61;18;26;0;1;0
64997;63;7;99;1;1;0
64460;66;18;42;0;3;0
46618;67;22;77;0;2;0
0;64;13;64;0;4;0
49988;84;6;37;5;5;0
0;91;2;8;5;1;0
16269;86;6;84;0;1;0
72006;64;4;38;0;3;0
0;81;3;60;2;2;0
0;245;34;83;0;1;0
44320;67;13;79;0;2;0
19782;108;13;66;0;1;0
63933;70;35;98;0;2;0
28224;109;13;13;0;8;0
21073;106;25;54;1;3;0
63243;77;21;73;0;3;0
20993;133;35;90;0;1;0
94827;135;5;64;0;4;0
39161;63;18;83;1;4;0
37534;84;2;0;2;2;0
80210;65;30;28;0;1;0
0;62;32;59;0;2;0
30110;64;2;4;0;5;0
21708;68;28;77;0;2;0
94731;67;23;65;0;4;0
32375;83;17;83;0;6;0
16531;63;0;40;0;4;0
32006;94;28;7;0;2;0
81676;72;21;86;0;8;0
71038;86;15;56;0;3;0
0;103;20;43;0;1;0
20832;65;8;32;0;2;0
0;113;19;10;0;7;0
52405;103;2;27;0;1;0
0;133;3;89;0;1;0
26583;128;6;46;4;1;0
25486;65;15;53;0;3;0
24065;111;30;1;0;5;0
70435;116;0;50;0;4;0
0;76;33;36;2;2;0
39679;92;2;85;0;1;0
0;89;13;45;0;5;0
0;69;21;70;4;3;0
53565;71;27;34;1;6;0
37574;66;19;14;1;1;0
48259;108;14;79;0;3;0
78532;78;25;87;0;3;0
96163;73;23;90;0;3;0
0;72;0;86;0;7;0
0;114;9;72;1;5;0
72672;63;7;39;0;5;0
99002;112;33;75;1;8;0
79494;91;19;30;0;3;0
35704;225;21;35;0;8;0
0;71;6;5;0;3;0
26049;118;17;6;0;6;0
70125;64;21;77;0;1;0
52369;110;34;49;1;2;0
0;66;25;51;2;1;0
41770;72;0;60;0;9;0
0;101;16;88;0;8;0
31911;67;33;27;0;1;0
70051;68;15;69;0;8;0
19683;117;17;41;1;9;0
30916;112;7;65;0;2;0
0;80;24;95;0;1;0
0;118;14;64;0;4;0
0;116;0;45;0;2;0
60145;132;8;28;0;3;0
63774;111;18;63;0;1;0
25134;67;3;0;0;6;0
37057;61;5;48;1;6;0
58577;110;6;62;0;1;0
85857;73;3;19;0;6;0
70602;116;8;47;0;3;0
33816;106;10;97;2;3;0
0;153;7;75;0;2;0
89642;121;11;20;4;1;0
60068;98;17;75;0;1;0
50044;139;16;14;0;1;0
36650;69;2;70;1;1;0
50653;110;29;42;0;1;0
68931;66;32;30;0;7;0
0;73;14;39;1;1;0
0;73;1;22;0;5;0
39266;80;33;31;0;2;0
0;102;35;48;0;2;0
0;98;24;11;1;2;0
40864;65;2;75;0;1;0
39035;68;15;65;0;1;0
34923;98;23;82;0;2;0
0;63;1;56;0;1;0
0;111;27;36;0;9;0
24506;71;7;47;0;1;0
0;82;25;63;0;2;0
52220;70;17;42;1;5;0
0;74;17;73;0;1;0
53554;67;6;5;0;2;0
34476;67;23;49;1;3;0
0;70;1;11;0;5;0
68205;76;35;14;0;1;0
0;119;6;48;1;8;0
53690;154;20;97;0;2;0
0;72;2;22;0;5;0
0;61;28;31;0;1;0
74454;71;25;29;0;3;0
0;73;23;91;0;2;0
29664;71;1;69;0;3;0
15680;64;20;29;0;8;0
47272;79;17;17;3;2;0
21585;92;35;61;0;1;0
23827;106;18;77;2;3;0
69906;74;34;32;2;2;0
0;72;7;77;0;1;0
89879;63;17;20;0;3;0
0;69;9;89;0;1;0
46131;74;27;28;0;1;0
54514;109;5;36;3;1;0
0;161;29;1;0;1;0
96668;66;2;95;0;3;0
78879;69;9;67;1;4;0
0;69;21;86;0;2;0
0;76;8;44;0;3;0
0;112;28;30;0;2;0
29735;69;3;92;0;1;0
23082;65;18;90;0;7;0
53984;80;15;62;0;1;0
52135;156;6;86;0;9;0
17576;71;29;70;0;1;0
29486;62;19;73;0;1;0
58557;88;4;83;0;1;0
25632;63;27;52;0;7;0
0;112;7;42;0;9;0
18768;68;19;53;3;3;0
33190;106;18;95;0;2;0
47945;74;32;39;0;3;0
58778;126;6;62;0;2;0
15192;100;1;7;0;1;0
51859;171;0;21;0;1;0
23422;72;25;76;0;3;0
21604;79;14;28;0;1;0
79298;90;22;2;0;1;0
76731;64;2;68;0;1;0
67282;62;29;27;0;1;0
48534;115;29;79;1;2;0
77678;116;32;81;0;1;0
48412;104;15;23;0;2;0
33837;72;29;54;4;1;0
23712;85;2;20;0;3;0
28142;105;18;50;0;1;0
72196;68;8;61;0;2;0
68197;69;1;81;0;3;0
75248;63;13;71;0;5;0
0;98;9;50;0;2;0
0;65;5;19;1;1;0
41546;111;4;47;0;3;0
46998;96;13;98;0;6;0
57099;67;20;37;0;1;0
33897;114;15;67;0;8;0
59207;116;23;21;0;2;0
40171;73;8;78;0;1;0
67798;69;1;78;0;9;0
21665;136;0;25;0;1;0
0;87;9;75;0;2;0
0;67;12;67;5;7;0
34226;244;29;22;0;2;0
65989;123;4;43;1;2;0
30686;61;22;45;0;3;0
0;113;15;6;0;2;0
20090;109;10;59;0;2;0
0;183;6;16;0;2;0
77094;176;25;29;0;5;0
97413;73;21;80;0;6;0
79189;69;6;97;0;4;0
0;62;5;31;0;1;0
18577;86;21;76;0;6;0
0;112;7;34;1;1;0
40783;67;13;43;1;9;0
0;74;34;51;0;4;0
17483;183;24;63;0;1;0
84394;114;9;38;0;1;0
0;127;3;93;0;3;0
41440;62;20;80;1;2;0
0;136;14;69;1;8;0
98132;71;10;61;0;3;0
0;112;4;49;0;1;0
88220;230;28;63;0;2;0
58327;129;31;5;0;3;0
25950;66;27;1;0;2;0
20993;133;35;90;0;1;0
65726;177;35;90;0;7;0
0;63;35;59;3;3;0
39783;72;28;43;0;1;0
58842;110;6;74;0;1;0
25629;124;3;70;2;6;0
48567;130;12;15;0;1;0
0;196;0;73;2;1;0
33746;74;1;6;1;1;0
22254;79;22;75;0;2;0
65974;113;3;43;0;3;0
0;76;18;63;0;3;0
17161;113;1;22;1;1;0
0;74;1;62;0;7;0
0;132;9;85;0;6;0
0;73;9;14;0;2;0
67752;131;4;40;4;9;0
25398;64;30;80;0;6;0
0;88;30;19;0;4;0
33321;105;6;2;0;3;0
0;78;13;32;0;1;0
68798;114;19;69;0;1;0
20325;100;4;6;0;1;0
13129;117;15;93;0;6;0
0;73;24;57;0;4;0
49080;91;14;68;0;1;0
42536;63;30;57;0;6;0
29926;74;25;34;0;1;0
0;86;5;55;0;1;0
21450;138;15;35;0;4;0
33345;65;32;52;0;2;0
15752;90;27;37;0;2;0
40169;65;1;47;1;3;0
26049;113;10;15;1;9;0
0;68;3;4;0;1;0
55411;100;24;53;0;4;0
12459;70;4;41;0;1;0
64620;76;24;32;1;2;0
83140;61;25;70;0;1;0
0;92;20;50;0;1;0
