Customer Lifetime Value;Coverage;Education;EmploymentStatus;Gender;Income;Monthly Premium Auto;Months Since Last Claim;Months Since Policy Inception;Number of Open Complaints;Number of Policies;Response
2763.519279;Basic;Bachelor;Employed;F;56274;;32;5;;1;No
;;Bachelor;Unemployed;F;0;;13;42;;;No
;;;Employed;F;48767;108;;38;0;;No
7645.861827;Basic;Bachelor;;;0;106;18;;;7;No
2813.692575;Basic;Bachelor;;M;43836;73;12;;;1;No
;Basic;;;F;;69;;;;2;Yes
5380.898636;Basic;College;Employed;F;55350;;;13;0;9;No
7216.100311;Premium;Master;Unemployed;M;0;101;0;68;0;4;No
24127.50402;Basic;Bachelor;Medical Leave;M;14072;71;13;3;0;2;Yes
7388.178085;Extended;;;;;;17;;0;8;No
4738.992022;;College;Unemployed;M;0;;;5;0;3;No
;Basic;College;Unemployed;;0;;27;87;0;3;No
8798.797003;Premium;Master;Employed;;77026;;9;;2;3;No
8819.018934;Basic;High School or Below;Employed;M;99845;110;23;25;1;;Yes
5384.431665;;College;;M;83689;70;21;;2;8;No
7463.139377;;Bachelor;Employed;F;24599;64;12;50;1;;No
2566.867823;Basic;High School or Below;Medical Leave;M;25049;67;14;7;0;1;No
3945.241604;Basic;College;Medical Leave;M;28855;101;12;59;0;1;No
5710.333115;Basic;College;Employed;M;51148;;9;1;;7;No
8162.617053;Premium;High School or Below;Employed;F;66140;101;11;21;0;3;No
2872.051273;Basic;High School or Below;Employed;M;57749;;31;21;0;1;No
3041.791561;Extended;Bachelor;Disabled;F;13789;;8;49;0;1;No
24127.50402;Basic;Bachelor;Medical Leave;M;14072;71;13;3;0;2;Yes
2450.190996;Basic;Bachelor;Unemployed;F;0;73;4;44;3;1;No
2392.10789;Basic;Bachelor;Disabled;F;17870;61;30;91;0;1;No
5802.065978;Basic;College;Employed;M;97541;72;22;1;0;3;No
3946.372085;Premium;Bachelor;Unemployed;F;0;;15;47;0;1;No
5346.916576;Extended;Master;Disabled;F;10511;139;33;;0;1;No
12902.56014;Premium;College;Employed;F;86584;111;33;54;2;;No
3235.360468;Extended;Master;Employed;F;75690;80;;44;1;1;No
2454.58354;Basic;College;Employed;M;23158;63;4;;1;1;No
18975.45611;Extended;High School or Below;Employed;M;65999;237;1;14;0;6;No
4715.321344;Basic;Bachelor;Unemployed;M;0;65;19;56;0;3;No
5018.885233;Basic;Bachelor;Employed;M;54500;63;28;17;0;6;No
4932.916345;Basic;Bachelor;Employed;F;37260;62;19;42;0;8;No
5744.229745;Basic;High School or Below;Employed;F;68987;71;11;40;0;6;No
13891.73567;Premium;Bachelor;Employed;M;42305;117;10;62;0;2;No
7380.976717;Extended;Master;Employed;F;65706;91;19;86;0;8;No
3090.034104;Extended;Bachelor;Unemployed;M;0;90;7;79;0;1;No
2521.633095;Basic;High School or Below;Employed;M;53243;66;4;15;2;1;No
2652.061785;Basic;High School or Below;Unemployed;F;0;70;7;1;1;1;No
2771.045031;Basic;College;Employed;F;50071;71;3;32;0;1;Yes
