возраст;образование;стаж;проживание;доход;статус;дефолт
41;незак. высшее;17;12;176;постоянный;да
27;неполное среднее;10;6;31;постоянный;нет
40;среднее;15;14;55;постоянный;нет
41;среднее;15;14;120;постоянный;нет
24;среднее специальное;2;0;28;постоянный;да
41;среднее специальное;5;5;25;постоянный;нет
39;среднее;20;9;67;постоянный;нет
43;среднее;12;11;38;постоянный;нет
24;среднее;3;4;19;постоянный;да
36;высшее;0;13;25;постоянный;нет
27;среднее;0;1;16;постоянный;нет
25;среднее;4;0;23;постоянный;нет
52;неполное среднее;24;14;64;постоянный;нет
37;среднее;6;9;29;постоянный;нет
48;среднее;22;15;100;постоянный;нет
36;среднее специальное;9;6;49;постоянный;да
36;среднее специальное;13;6;41;постоянный;да
43;среднее;23;19;72;постоянный;нет
39;среднее;6;9;61;постоянный;нет
41;высшее;0;21;26;постоянный;нет
39;среднее;22;3;52;постоянный;нет
47;среднее;17;21;43;постоянный;нет
28;среднее;3;6;26;постоянный;нет
29;высшее;8;6;27;постоянный;нет
21;среднее специальное;1;2;16;постоянный;да
25;высшее;0;2;32;постоянный;нет
45;среднее специальное;9;26;69;постоянный;нет
43;высшее;25;21;64;постоянный;нет
33;среднее специальное;12;8;58;постоянный;нет
26;высшее;2;1;37;постоянный;нет
45;высшее;3;15;20;постоянный;нет
30;высшее;1;10;22;постоянный;нет
27;высшее;2;7;26;постоянный;нет
25;высшее;8;4;27;постоянный;нет
25;высшее;8;1;35;постоянный;нет
26;среднее специальное;6;7;45;постоянный;нет
30;среднее специальное;10;4;22;постоянный;нет
32;среднее специальное;12;1;54;постоянный;нет
28;среднее специальное;1;8;24;постоянный;да
45;высшее;23;5;50;постоянный;нет
23;высшее;7;2;31;постоянный;нет
34;высшее;17;3;59;постоянный;нет
42;среднее специальное;7;23;41;постоянный;нет
39;высшее;19;5;48;постоянный;нет
26;высшее;0;0;14;постоянный;да
21;среднее специальное;0;1;16;постоянный;нет
35;высшее;13;15;35;постоянный;нет
47;высшее;4;2;26;постоянный;нет
23;среднее специальное;0;2;21;постоянный;да
35;высшее;18;2;42;постоянный;нет
34;высшее;2;11;25;постоянный;да
46;высшее;1;12;20;постоянный;нет
46;высшее;16;18;52;постоянный;да
38;высшее;3;18;25;постоянный;нет
40;среднее специальное;3;2;28;постоянный;нет
37;высшее;1;3;24;постоянный;да
35;высшее;9;1;34;постоянный;нет
39;среднее специальное;16;13;69;постоянный;нет
40;высшее;18;6;100;постоянный;нет
50;высшее;10;20;80;постоянный;нет
31;высшее;9;10;28;постоянный;нет
29;высшее;13;1;42;постоянный;да
37;высшее;4;0;23;постоянный;нет
33;среднее специальное;4;9;55;постоянный;нет
26;среднее специальное;5;7;28;постоянный;нет
32;среднее специальное;11;6;75;постоянный;да
28;среднее специальное;2;3;23;постоянный;да
39;высшее;19;8;46;постоянный;нет
28;среднее специальное;8;3;31;постоянный;да
29;высшее;1;2;20;постоянный;да
34;среднее специальное;3;8;21;постоянный;нет
28;среднее специальное;5;9;34;постоянный;нет
47;высшее;26;21;100;постоянный;нет
43;высшее;1;5;26;постоянный;нет
41;высшее;13;10;44;постоянный;нет
47;высшее;13;25;51;постоянный;нет
24;высшее;2;1;21;постоянный;нет
29;высшее;1;9;17;постоянный;нет
33;высшее;14;2;37;постоянный;нет
36;высшее;15;10;39;постоянный;нет
26;высшее;4;3;27;постоянный;да
31;высшее;11;12;45;постоянный;нет
37;высшее;7;3;32;постоянный;нет
35;высшее;4;16;29;постоянный;нет
26;высшее;4;3;20;постоянный;нет
40;высшее;10;15;45;постоянный;нет
29;среднее специальное;5;4;36;постоянный;да
37;высшее;5;17;29;постоянный;нет
32;высшее;12;12;28;постоянный;нет
23;среднее специальное;0;1;17;постоянный;да
32;высшее;3;10;23;постоянный;нет
25;высшее;1;6;15;постоянный;да
38;высшее;5;5;54;постоянный;нет
32;среднее специальное;0;6;18;постоянный;да
41;высшее;2;0;15;постоянный;да
36;высшее;17;6;54;постоянный;нет
42;высшее;13;0;82;постоянный;нет
41;высшее;14;8;52;постоянный;нет
29;среднее специальное;4;9;19;постоянный;нет
38;высшее;4;6;31;постоянный;да
39;высшее;22;9;113;постоянный;нет
36;высшее;6;9;26;постоянный;нет
33;высшее;8;7;27;постоянный;нет
42;среднее специальное;21;11;121;постоянный;нет
41;среднее специальное;22;17;75;постоянный;нет
40;высшее;8;17;28;постоянный;нет
53;высшее;9;18;50;постоянный;да
28;высшее;4;7;26;постоянный;нет
36;среднее специальное;12;13;60;постоянный;нет
34;среднее специальное;9;13;45;постоянный;нет
45;высшее;2;5;39;постоянный;нет
38;высшее;6;0;41;постоянный;нет
21;высшее;0;2;24;постоянный;нет
42;высшее;12;11;51;постоянный;нет
52;высшее;16;25;64;постоянный;нет
25;среднее специальное;4;6;33;постоянный;нет
34;среднее специальное;9;9;65;постоянный;нет
40;среднее специальное;15;16;73;постоянный;нет
31;среднее специальное;0;4;27;постоянный;да
25;высшее;1;0;20;постоянный;да
45;высшее;12;19;37;постоянный;нет
23;высшее;3;0;19;постоянный;да
34;высшее;6;3;27;постоянный;да
31;неполное среднее;2;4;22;постоянный;да
28;неполное среднее;5;9;22;постоянный;нет
41;неполное среднее;7;11;43;постоянный;нет
39;среднее специальное;7;2;68;постоянный;да
29;среднее специальное;9;3;36;постоянный;нет
21;неполное среднее;5;1;25;постоянный;нет
41;среднее специальное;19;2;68;постоянный;нет
