age;ed;employ;address;income;debtinc;creddebt;othdebt
28;2;7;2;44;17,7;2,990592;4,797408
64;5;34;17;116;14,7;5,047392;12,004608
40;1;20;12;61;4,8;1,042368;1,885632
30;1;11;3;27;34,5;1,75122;7,56378
25;1;2;2;30;22,4;0,75936;5,96064
35;1;2;9;38;10,9;1,462126;2,679874
26;3;2;4;38;11,9;0,954142;3,567858
25;1;4;2;30;14,4;1,04544;3,27456
65;4;29;14;189;5;3,3642;6,0858
21;3;0;0;23;3,9;0,305877;0,591123
62;1;33;13;96;17,5;6,6864;10,1136
30;4;4;3;39;10,6;2,389452;1,744548
38;5;7;7;124;19,1;9,520968;14,163032
18;2;0;0;35;3,9;0,17472;1,19028
53;1;9;13;41;13,3;2,333884;3,119116
18;2;0;0;15;7,4;0,82806;0,28194
18;2;0;0;56;15,7;1,837528;6,954472
19;1;2;0;31;0,3;0,024552;0,068448
19;2;0;0;26;5,8;0,586612;0,921388
56;2;27;21;125;8,5;2,900625;7,724375
21;2;1;1;40;7,6;1,52;1,52
25;1;8;3;37;8,3;0,948939;2,122061
47;3;8;10;43;6,1;0,359351;2,263649
40;4;17;11;103;13,3;10,41124;3,28776
41;2;16;11;56;3,4;0,896784;1,007216
23;4;0;2;118;6,4;0,294528;7,257472
45;5;1;4;58;15,4;2,36698;6,56502
37;3;15;10;65;5;1,30325;1,94675
47;2;23;14;46;11,7;0,839592;4,542408
23;4;0;2;42;6,7;1,584282;1,229718
18;2;0;0;19;5,2;0,31616;0,67184
19;2;0;0;21;2;0,27636;0,14364
41;1;3;12;23;10,6;0,14628;2,29172
42;2;3;12;76;5,2;0,723216;3,228784
29;4;2;3;45;3;0,6696;0,6804
24;4;0;2;41;8,4;0,788676;2,655324
45;5;9;11;48;10,2;3,52512;1,37088
39;4;8;9;259;7,2;1,547784;17,100216
40;2;15;6;46;10,6;0,819168;4,056832
21;3;0;0;17;17,6;1,373328;1,618672
55;3;34;16;150;9,9;0,72765;14,12235
29;2;6;4;35;3,3;0,19866;0,95634
22;3;0;0;24;5,2;0,2808;0,9672
58;4;24;18;70;6,8;2,29908;2,46092
53;2;14;19;67;6,1;1,06262;3,02438
31;3;5;7;25;6,8;0,4301;1,2699
26;1;4;2;23;6,9;0,165048;1,421952
23;4;0;0;28;19,2;1,72032;3,65568
25;2;1;3;19;28,6;2,33662;3,09738
52;3;23;10;153;4,5;2,12058;4,76442
25;3;0;1;35;9,7;0,132405;3,262595
22;4;0;1;31;22,8;1,314648;5,753352
38;3;8;8;35;26,4;3,77916;5,46084
42;2;16;11;49;9,7;0,556101;4,196899
52;1;5;18;36;9,8;1,400616;2,127384
30;1;2;3;18;3;0,07236;0,46764
59;4;20;16;144;3,4;2,492064;2,403936
34;3;5;5;44;5,6;0,744128;1,719872
33;1;11;6;52;9,1;0,9464;3,7856
26;3;2;3;21;8,2;0,54243;1,17957
25;3;2;1;26;11,9;1,2376;1,8564
19;2;0;0;43;21,2;3,427616;5,688384
41;5;7;12;47;5,2;1,635036;0,808964
36;2;2;9;27;9,3;0,735723;1,775277
20;2;0;0;21;10,2;0,552636;1,589364
35;2;6;5;26;2,5;0,44655;0,20345
33;4;3;4;34;1,2;0,226848;0,181152
38;4;0;12;37;2;0,09546;0,64454
