Id;age;years_of_experience;lesson_price;qualification;physics;chemistry;biology;english;geography;history;mean_exam_points
0;40.0;0.0;1400.0;1.0;Yes;No;No;No;Yes;No;63.0
1;48.0;4.0;2850.0;3.0;Yes;No;No;No;No;No;86.0
2;39.0;0.0;1200.0;1.0;No;No;No;No;No;No;53.0
3;46.0;5.0;1400.0;1.0;No;No;No;No;No;No;56.0
4;43.0;1.0;1500.0;1.0;No;No;No;No;No;No;59.0
5;33.0;4.0;1650.0;1.0;No;No;No;No;No;No;43.0
6;53.0;1.0;2100.0;1.0;No;No;No;No;No;No;72.0
7;60.0;3.0;1800.0;2.0;No;No;No;No;No;No;60.0
8;39.0;1.0;1200.0;1.0;No;Yes;No;No;No;No;57.0
9;49.0;5.0;1750.0;1.0;No;No;No;No;No;No;37.0
10;34.0;3.0;1150.0;1.0;No;No;No;No;No;No;61.0
11;50.0;2.0;2100.0;2.0;No;No;No;No;No;No;65.0
12;42.0;3.0;1300.0;2.0;No;No;No;No;No;No;61.0
13;49.0;2.0;2300.0;2.0;Yes;No;Yes;No;No;No;79.0
14;45.0;4.0;2600.0;3.0;Yes;Yes;No;No;No;No;94.0
15;43.0;4.0;1150.0;1.0;No;No;No;No;No;No;53.0
16;49.0;0.0;1400.0;1.0;Yes;No;No;No;No;No;64.0
17;46.0;3.0;1500.0;1.0;No;No;No;No;No;No;52.0
18;46.0;3.0;1300.0;1.0;No;No;No;No;No;No;62.0
19;54.0;0.0;1550.0;1.0;No;No;No;No;No;No;34.0
20;57.0;3.0;1650.0;1.0;No;No;No;No;Yes;No;42.0
21;52.0;5.0;1850.0;1.0;No;No;Yes;No;No;No;52.0
22;49.0;6.0;300.0;1.0;No;No;No;No;No;No;45.0
23;58.0;4.0;1850.0;1.0;No;Yes;No;No;No;No;42.0
24;60.0;1.0;1300.0;1.0;Yes;No;No;No;No;No;68.0
25;42.0;4.0;1200.0;3.0;Yes;No;No;No;No;No;62.0
26;49.0;0.0;1500.0;1.0;Yes;No;No;No;No;No;44.0
27;55.0;5.0;2400.0;3.0;Yes;No;No;No;No;No;91.0
28;44.0;4.0;2200.0;2.0;No;No;Yes;No;No;No;82.0
29;35.0;2.0;1600.0;1.0;No;No;No;No;No;No;57.0
30;46.0;0.0;1200.0;1.0;No;No;No;No;Yes;No;53.0
31;41.0;1.0;2200.0;3.0;Yes;No;No;No;No;No;85.0
32;47.0;4.0;2300.0;3.0;Yes;No;Yes;No;No;No;87.0
33;57.0;3.0;1600.0;1.0;Yes;No;No;No;No;No;43.0
34;35.0;3.0;2750.0;3.0;No;No;Yes;No;No;No;88.0
35;54.0;0.0;1200.0;1.0;Yes;No;Yes;No;No;No;56.0
36;51.0;5.0;1300.0;1.0;Yes;No;No;No;No;No;64.0
