job_position;open_account_flg
UMN;0
UMN;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
INP;0
SPC;0
SPC;0
SPC;0
UMN;1
SPC;0
SPC;0
SPC;1
DIR;1
SPC;0
SPC;0
SPC;0
SPC;1
SPC;0
SPC;1
ATP;0
SPC;0
SPC;0
SPC;0
SPC;1
DIR;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
UMN;1
SPC;0
SPC;0
UMN;1
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
DIR;0
PNA;0
BIS;1
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
PNA;1
PNA;1
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
ATP;1
SPC;1
SPC;0
SPC;0
BIS;0
SPC;0
SPC;0
SPC;0
SPC;0
ATP;0
SPC;0
PNA;1
SPC;0
SPC;0
SPC;0
SPC;1
SPC;0
WOI;0
UMN;0
UMN;0
ATP;0
SPC;0
SPC;0
SPC;1
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
NOR;1
SPC;0
SPC;1
SPC;0
SPC;1
SPC;0
DIR;0
UMN;0
SPC;0
BIS;0
SPC;0
SPC;1
PNA;0
UMN;0
SPC;0
UMN;0
UMN;0
SPC;1
SPC;0
SPC;0
SPC;1
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;1
SPC;0
SPC;0
SPC;0
BIS;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
DIR;0
SPC;1
UMN;0
UMN;1
PNA;0
SPC;0
SPC;1
UMN;1
SPC;0
SPC;0
WOI;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
UMN;0
SPC;0
SPC;0
SPC;0
SPC;1
DIR;0
SPC;0
SPC;0
PNA;0
PNA;0
SPC;1
UMN;1
DIR;1
SPC;0
SPC;0
SPC;1
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;1
UMN;0
SPC;1
SPC;0
UMN;0
SPC;0
SPC;1
SPC;0
BIS;0
SPC;1
UMN;1
SPC;0
SPC;0
PNA;0
UMN;0
PNA;1
SPC;0
SPC;0
SPC;0
SPC;0
BIS;0
SPC;0
SPC;0
SPC;0
PNA;0
BIS;0
SPC;0
DIR;0
SPC;0
SPC;0
SPC;1
SPC;0
SPC;0
SPC;0
SPC;1
SPC;0
SPC;0
UMN;0
SPC;0
PNA;0
BIS;0
SPC;0
SPC;1
UMN;0
SPC;1
SPC;0
SPC;0
BIS;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;1
SPC;0
UMN;1
SPC;1
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
UMN;0
UMN;1
UMN;1
SPC;0
SPC;0
UMN;0
SPC;0
SPC;1
UMN;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;1
SPC;0
BIS;0
UMN;0
UMN;1
SPC;1
SPC;0
BIS;0
SPC;0
SPC;0
SPC;1
SPC;0
SPC;1
SPC;0
SPC;0
DIR;0
SPC;1
SPC;0
UMN;0
SPC;0
SPC;0
DIR;0
UMN;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;1
SPC;0
UMN;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;1
SPC;1
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
UMN;0
SPC;0
UMN;0
SPC;0
PNA;0
SPC;0
SPC;0
SPC;0
UMN;0
SPC;0
SPC;0
SPC;1
SPC;0
SPC;0
SPC;0
SPC;1
SPC;0
SPC;0
BIS;1
SPC;0
SPC;0
SPC;1
SPC;1
SPC;0
SPC;0
SPC;0
SPC;0
SPC;1
UMN;0
SPC;0
SPC;0
SPC;1
SPC;0
SPC;0
SPC;0
SPC;0
ATP;0
SPC;0
SPC;0
SPC;0
SPC;1
SPC;0
SPC;1
SPC;0
SPC;0
UMN;0
PNA;0
SPC;0
SPC;1
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;1
SPC;0
SPC;0
UMN;1
SPC;0
SPC;0
SPC;0
SPC;1
SPC;0
SPC;1
SPC;0
SPC;1
SPC;0
SPC;1
SPC;0
SPC;0
UMN;0
UMN;0
SPC;0
SPC;1
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;1
SPC;0
UMN;0
SPC;0
SPC;0
SPC;0
SPC;0
BIS;1
SPC;1
SPC;0
SPC;1
SPC;1
WRK;0
SPC;0
SPC;1
SPC;0
BIS;1
SPC;0
SPC;1
SPC;1
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
PNA;0
PNA;1
SPC;1
UMN;0
SPC;0
SPC;0
UMN;0
ATP;1
SPC;0
UMN;0
SPC;1
UMN;0
SPC;0
SPC;1
SPC;0
DIR;0
SPC;1
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;1
SPC;1
SPC;0
DIR;0
SPC;0
ATP;0
UMN;1
SPC;0
SPC;1
SPC;0
DIR;0
ATP;0
SPC;0
SPC;0
SPC;0
SPC;1
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
SPC;0
UMN;0
SPC;1
SPC;0
SPC;0
SPC;0
BIS;0
SPC;1
SPC;1
SPC;0
SPC;0
SPC;0
BIS;1
SPC;0
SPC;0
SPC;0
WRP;1
SPC;0
SPC;0
BIS;0
